Area,Continent,Item,Year,Value
Rwanda,Africa,overweight,2016,5.2
Rwanda,Africa,overweight,2017,5.2
Rwanda,Africa,overweight,2018,5.2
Rwanda,Africa,overweight,2019,5.2
Rwanda,Africa,overweight,2020,5.2
Saint Lucia,North America,overweight,2016,6.7
Saint Lucia,North America,overweight,2017,6.7
Saint Lucia,North America,overweight,2018,6.8
Saint Lucia,North America,overweight,2019,6.8
Saint Lucia,North America,overweight,2020,6.9
Samoa,Oceania,wasting,2019,3.1
Samoa,Oceania,overweight,2016,6.8
Samoa,Oceania,overweight,2017,6.9
Samoa,Oceania,overweight,2018,7
Samoa,Oceania,overweight,2019,7
Samoa,Oceania,overweight,2020,7.1
Sao Tome and Principe,Africa,wasting,2019,4.1
Sao Tome and Principe,Africa,overweight,2016,3.1
Sao Tome and Principe,Africa,overweight,2017,3.3
Sao Tome and Principe,Africa,overweight,2018,3.5
Sao Tome and Principe,Africa,overweight,2019,3.8
Sao Tome and Principe,Africa,overweight,2020,4
Saudi Arabia,Asia,overweight,2016,7.1
Saudi Arabia,Asia,overweight,2017,7.3
Saudi Arabia,Asia,overweight,2018,7.4
Saudi Arabia,Asia,overweight,2019,7.5
Saudi Arabia,Asia,overweight,2020,7.6
Senegal,Africa,wasting,2016,7.1
Senegal,Africa,wasting,2017,9
Senegal,Africa,wasting,2018,7.8
Senegal,Africa,wasting,2019,8.1
Senegal,Africa,overweight,2016,1.6
Senegal,Africa,overweight,2017,1.7
Senegal,Africa,overweight,2018,1.8
Senegal,Africa,overweight,2019,1.9
Senegal,Africa,overweight,2020,2.1
Serbia,Europe,wasting,2019,2.6
Serbia,Europe,overweight,2016,12.3
Serbia,Europe,overweight,2017,11.7
Serbia,Europe,overweight,2018,11.3
Serbia,Europe,overweight,2019,11
Serbia,Europe,overweight,2020,10.8
Seychelles,Africa,overweight,2016,9.3
Seychelles,Africa,overweight,2017,9.4
Seychelles,Africa,overweight,2018,9.5
Seychelles,Africa,overweight,2019,9.7
Seychelles,Africa,overweight,2020,9.8
Sierra Leone,Africa,wasting,2017,5.1
Sierra Leone,Africa,wasting,2019,5.4
Sierra Leone,Africa,overweight,2016,3.7
Sierra Leone,Africa,overweight,2017,3.9
Sierra Leone,Africa,overweight,2018,4.2
Sierra Leone,Africa,overweight,2019,4.4
Sierra Leone,Africa,overweight,2020,4.7
Singapore,Asia,overweight,2016,4.4
Singapore,Asia,overweight,2017,4.5
Singapore,Asia,overweight,2018,4.6
Singapore,Asia,overweight,2019,4.7
Singapore,Asia,overweight,2020,4.8
Solomon Islands,Oceania,overweight,2016,3.7
Solomon Islands,Oceania,overweight,2017,3.8
Solomon Islands,Oceania,overweight,2018,3.8
Solomon Islands,Oceania,overweight,2019,3.9
Solomon Islands,Oceania,overweight,2020,4
Somalia,Africa,overweight,2016,2.9
Somalia,Africa,overweight,2017,2.8
Somalia,Africa,overweight,2018,2.9
Somalia,Africa,overweight,2019,2.9
Somalia,Africa,overweight,2020,2.9
South Africa,Africa,wasting,2016,2.5
South Africa,Africa,wasting,2017,3.4
South Africa,Africa,overweight,2016,12.9
South Africa,Africa,overweight,2017,12.9
South Africa,Africa,overweight,2018,12.9
South Africa,Africa,overweight,2019,12.9
South Africa,Africa,overweight,2020,12.9
South Sudan,Africa,overweight,2016,5.8
South Sudan,Africa,overweight,2017,5.7
South Sudan,Africa,overweight,2018,5.7
South Sudan,Africa,overweight,2019,5.7
South Sudan,Africa,overweight,2020,5.7
Sri Lanka,Asia,wasting,2016,15.1
Sri Lanka,Asia,overweight,2016,1.2
Sri Lanka,Asia,overweight,2017,1.3
Sri Lanka,Asia,overweight,2018,1.3
Sri Lanka,Asia,overweight,2019,1.3
Sri Lanka,Asia,overweight,2020,1.3
Sudan,Africa,overweight,2016,2.4
Sudan,Africa,overweight,2017,2.5
Sudan,Africa,overweight,2018,2.6
Sudan,Africa,overweight,2019,2.6
Sudan,Africa,overweight,2020,2.7
Suriname,South America,wasting,2018,5.5
Suriname,South America,overweight,2016,3.9
Suriname,South America,overweight,2017,3.9
Suriname,South America,overweight,2018,4
Suriname,South America,overweight,2019,4
Suriname,South America,overweight,2020,4
Syrian Arab Republic,Asia,overweight,2016,18.6
Syrian Arab Republic,Asia,overweight,2017,18.5
Syrian Arab Republic,Asia,overweight,2018,18.4
Syrian Arab Republic,Asia,overweight,2019,18.3
Syrian Arab Republic,Asia,overweight,2020,18.2
Tajikistan,Asia,wasting,2016,3.5
Tajikistan,Asia,wasting,2017,5.6
Tajikistan,Asia,overweight,2016,4.1
Tajikistan,Asia,overweight,2017,3.9
Tajikistan,Asia,overweight,2018,3.7
Tajikistan,Asia,overweight,2019,3.6
Tajikistan,Asia,overweight,2020,3.5
Thailand,Asia,wasting,2016,5.4
Thailand,Asia,wasting,2019,7.7
Thailand,Asia,overweight,2016,9.1
Thailand,Asia,overweight,2017,9.1
Thailand,Asia,overweight,2018,9.2
Thailand,Asia,overweight,2019,9.2
Thailand,Asia,overweight,2020,9.2
Togo,Africa,wasting,2017,5.7
Togo,Africa,overweight,2016,1.9
Togo,Africa,overweight,2017,2
Togo,Africa,overweight,2018,2.1
Togo,Africa,overweight,2019,2.3
Togo,Africa,overweight,2020,2.4
Tonga,Oceania,wasting,2019,1.1
Tonga,Oceania,overweight,2016,13.1
Tonga,Oceania,overweight,2017,13
Tonga,Oceania,overweight,2018,12.9
Tonga,Oceania,overweight,2019,12.8
Tonga,Oceania,overweight,2020,12.6
Trinidad and Tobago,North America,overweight,2016,10.6
Trinidad and Tobago,North America,overweight,2017,10.7
Trinidad and Tobago,North America,overweight,2018,10.9
Trinidad and Tobago,North America,overweight,2019,10.9
Trinidad and Tobago,North America,overweight,2020,11
Tunisia,Africa,wasting,2018,2.1
Tunisia,Africa,overweight,2016,14
Tunisia,Africa,overweight,2017,14.7
Tunisia,Africa,overweight,2018,15.4
Tunisia,Africa,overweight,2019,16
Tunisia,Africa,overweight,2020,16.5
Turkey,Asia,wasting,2018,1.7
Turkmenistan,Asia,wasting,2019,4.1
Turkmenistan,Asia,overweight,2016,4.1
Turkmenistan,Asia,overweight,2017,4
Turkmenistan,Asia,overweight,2018,3.9
Turkmenistan,Asia,overweight,2019,3.8
Turkmenistan,Asia,overweight,2020,3.8
Tuvalu,Oceania,overweight,2016,6.3
Tuvalu,Oceania,overweight,2017,6.3
Tuvalu,Oceania,overweight,2018,6.3
Tuvalu,Oceania,overweight,2019,6.4
Tuvalu,Oceania,overweight,2020,6.4
Uganda,Africa,wasting,2016,3.5
Uganda,Africa,overweight,2016,3.8
Uganda,Africa,overweight,2017,3.8
Uganda,Africa,overweight,2018,3.8
Uganda,Africa,overweight,2019,3.9
Uganda,Africa,overweight,2020,4
Ukraine,Europe,overweight,2016,20.2
Ukraine,Europe,overweight,2017,19.2
Ukraine,Europe,overweight,2018,18.3
Ukraine,Europe,overweight,2019,17.6
Ukraine,Europe,overweight,2020,17
United Republic of Tanzania,Africa,wasting,2018,3.5
United Republic of Tanzania,Africa,overweight,2016,4.8
United Republic of Tanzania,Africa,overweight,2017,4.9
United Republic of Tanzania,Africa,overweight,2018,5.1
United Republic of Tanzania,Africa,overweight,2019,5.3
United Republic of Tanzania,Africa,overweight,2020,5.5
United States of America,North America,wasting,2016,0.4
United States of America,North America,wasting,2018,0.1
United States of America,North America,overweight,2016,8.8
United States of America,North America,overweight,2017,8.8
United States of America,North America,overweight,2018,8.8
United States of America,North America,overweight,2019,8.8
United States of America,North America,overweight,2020,8.8
Uruguay,South America,wasting,2016,0.7
Uruguay,South America,wasting,2018,1.4
Uruguay,South America,overweight,2016,10.1
Uruguay,South America,overweight,2017,10.1
Uruguay,South America,overweight,2018,10.2
Uruguay,South America,overweight,2019,10.3
Uruguay,South America,overweight,2020,10.3
Uzbekistan,Asia,wasting,2017,1.8
Uzbekistan,Asia,overweight,2016,6.1
Uzbekistan,Asia,overweight,2017,5.7
Uzbekistan,Asia,overweight,2018,5.4
Uzbekistan,Asia,overweight,2019,5.2
Uzbekistan,Asia,overweight,2020,5
Vanuatu,Oceania,overweight,2016,4.9
Vanuatu,Oceania,overweight,2017,4.9
Vanuatu,Oceania,overweight,2018,4.9
Vanuatu,Oceania,overweight,2019,4.9
Vanuatu,Oceania,overweight,2020,4.9
Venezuela (Bolivarian Republic of),South America,overweight,2016,6.7
Venezuela (Bolivarian Republic of),South America,overweight,2017,6.7
Venezuela (Bolivarian Republic of),South America,overweight,2018,6.7
Venezuela (Bolivarian Republic of),South America,overweight,2019,6.7
Venezuela (Bolivarian Republic of),South America,overweight,2020,6.7
Viet Nam,Asia,wasting,2017,5.8
Viet Nam,Asia,overweight,2016,5.1
Viet Nam,Asia,overweight,2017,5.3
Viet Nam,Asia,overweight,2018,5.6
Viet Nam,Asia,overweight,2019,5.8
Viet Nam,Asia,overweight,2020,6
Yemen,Asia,overweight,2016,2.7
Yemen,Asia,overweight,2017,2.6
Yemen,Asia,overweight,2018,2.6
Yemen,Asia,overweight,2019,2.6
Yemen,Asia,overweight,2020,2.7
Zambia,Africa,wasting,2018,4.2
Zambia,Africa,overweight,2016,5.7
Zambia,Africa,overweight,2017,5.6
Zambia,Africa,overweight,2018,5.6
Zambia,Africa,overweight,2019,5.7
Zambia,Africa,overweight,2020,5.7
Zimbabwe,Africa,wasting,2019,2.9
Zimbabwe,Africa,overweight,2016,4
Zimbabwe,Africa,overweight,2017,3.9
Zimbabwe,Africa,overweight,2018,3.8
Zimbabwe,Africa,overweight,2019,3.7
Zimbabwe,Africa,overweight,2020,3.6
